id,pet_group,target_species,target_species_group,category_id,subcategory_id,keyword,negative_keywords,rakuten_genre_id,yahoo_genre_category_id,yahoo_brand_id,priority,enabled,max_pages,last_searched_at
psq-dog-wet-food,dog,dog,,dog_food,dog_wet_food,犬 ウェットフード,猫|キャット,,,,95,true,5,
psq-dog-treat,dog,dog,,dog_food,dog_treat,犬 おやつ,猫|キャット,,,,90,true,4,
psq-rabbit-pellet,rabbit,rabbit,,rabbit_food,rabbit_pellet,うさぎ ペレット,ハムスター|モルモット|フェレット,,,,100,true,5,
psq-rabbit-timothy,rabbit,rabbit,,timothy,timothy,うさぎ チモシー,猫|犬|フィーダー|牧草入れ|かじり木,,,,100,true,5,
psq-rabbit-hay,rabbit,rabbit,,rabbit_food,rabbit_hay_treat,うさぎ 牧草,猫|犬|フィーダー|牧草入れ|かじり木,,,,95,true,5,
psq-rabbit-treat,rabbit,rabbit,,rabbit_food,rabbit_hay_treat,うさぎ おやつ,猫|犬,,,,90,true,4,
psq-rabbit-toilet-litter,rabbit,rabbit,,toilet_litter,toilet_litter,うさぎ トイレ砂,猫砂|ハムスター,,,,90,true,4,
psq-rabbit-bedding,rabbit,rabbit,,bedding,bedding,うさぎ 床材,猫砂,,,,85,true,4,
psq-rabbit-hairball,rabbit,rabbit,,hairball_care,hairball_care,うさぎ 毛球ケア,猫|フェレット,,,,85,true,4,
psq-rabbit-supplement,rabbit,rabbit,,supplement,supplement,うさぎ サプリメント,猫|犬,,,,85,true,4,
psq-hamster-food,small_animal,hamster,,small_mammal_food,hamster_food,ハムスター フード,うさぎ|モルモット|フェレット,,,,100,true,5,
psq-hamster-pellet,small_animal,hamster,,small_mammal_food,hamster_food,ハムスター ペレット,うさぎ|モルモット|フェレット,,,,100,true,5,
psq-hamster-treat,small_animal,hamster,,small_mammal_food,hamster_food,ハムスター おやつ,うさぎ|モルモット|フェレット,,,,90,true,4,
psq-hamster-bedding,small_animal,hamster,,bedding,bedding,ハムスター 床材,猫砂|爬虫類,,,,90,true,4,
psq-hamster-nesting,small_animal,hamster,,nesting_material,nesting_material,ハムスター 巣材,鳥|昆虫,,,,90,true,4,
psq-hamster-bathing-sand,small_animal,hamster,,bathing_sand,bathing_sand,ハムスター 浴び砂,鳥|爬虫類,,,,90,true,4,
psq-hamster-toilet-litter,small_animal,hamster,,toilet_litter,toilet_litter,ハムスター トイレ砂,猫砂|うさぎ,,,,90,true,4,
psq-gerbil-food,small_animal,gerbil,,small_mammal_food,small_mammal_food,スナネズミ フード,ハムスター|うさぎ,,,,85,true,4,
psq-guinea-pig-food,small_animal,guinea_pig,,small_mammal_food,small_mammal_food,モルモット フード,ハムスター|フェレット,,,,100,true,5,
psq-guinea-pig-pellet,small_animal,guinea_pig,,small_mammal_food,small_mammal_pellet,モルモット ペレット,ハムスター|フェレット,,,,100,true,5,
psq-guinea-pig-hay,small_animal,guinea_pig,,timothy,timothy,モルモット 牧草,猫|犬,,,,95,true,5,
psq-guinea-pig-vitamin-c,small_animal,guinea_pig,,vitamin,vitamin,モルモット ビタミンC,ハムスター|フェレット,,,,95,true,5,
psq-guinea-pig-bedding,small_animal,guinea_pig,,bedding,bedding,モルモット 床材,猫砂|爬虫類,,,,85,true,4,
psq-chinchilla-food,small_animal,chinchilla,,small_mammal_food,small_mammal_food,チンチラ フード,ハムスター|フェレット,,,,90,true,4,
psq-degu-food,small_animal,degu,,small_mammal_food,small_mammal_food,デグー フード,ハムスター|フェレット,,,,90,true,4,
psq-ferret-food,small_animal,ferret,,small_mammal_food,small_mammal_food,フェレット フード,うさぎ|ハムスター|モルモット,,,,100,true,5,
psq-ferret-treat,small_animal,ferret,,small_mammal_food,small_mammal_food,フェレット おやつ,うさぎ|ハムスター,,,,95,true,5,
psq-ferret-hairball,small_animal,ferret,,hairball_care,hairball_care,フェレット 毛球ケア,猫|うさぎ,,,,90,true,4,
psq-ferret-toilet-litter,small_animal,ferret,,toilet_litter,toilet_litter,フェレット トイレ砂,猫砂|うさぎ,,,,90,true,4,
psq-ferret-deodorizer,small_animal,ferret,,deodorizer,deodorizer,フェレット 消臭,猫|犬,,,,85,true,4,
psq-hedgehog-food,small_animal,hedgehog,,small_mammal_food,small_mammal_food,ハリネズミ フード,ハムスター|フェレット,,,,90,true,4,
psq-sugar-glider-food,small_animal,sugar_glider,,small_mammal_food,small_mammal_food,フクロモモンガ フード,ハムスター|フェレット,,,,90,true,4,
psq-small-animal-bedding,small_animal,,,bedding,bedding,小動物 床材,猫砂|爬虫類,,,,40,false,1,
psq-small-animal-nesting,small_animal,,,nesting_material,nesting_material,小動物 巣材,鳥|昆虫,,,,40,false,1,
psq-small-animal-deodorizer,small_animal,,,deodorizer,deodorizer,小動物 消臭,猫|犬,,,,35,false,1,
psq-small-animal-care,small_animal,,,grooming,grooming,小動物 ケア用品,猫|犬,,,,30,false,1,
psq-budgerigar-food,bird,budgerigar,,bird_food,bird_seed_food,セキセイインコ フード,ハムスター|うさぎ,,,,100,true,5,
psq-cockatiel-food,bird,cockatiel,,bird_food,bird_seed_food,オカメインコ フード,ハムスター|うさぎ,,,,95,true,5,
psq-java-sparrow-food,bird,java_sparrow,,bird_food,bird_seed_food,文鳥 フード,ハムスター|うさぎ,,,,95,true,5,
psq-small-bird-food,bird,,small_bird,bird_food,bird_seed_food,小鳥 フード,ハムスター|うさぎ,,,,70,true,3,
psq-medium-parrot-food,bird,,medium_parrot,bird_food,bird_pellet,中型インコ フード,小鳥用|大型インコ用,,,,75,true,3,
psq-large-parrot-food,bird,,large_parrot,bird_food,bird_pellet,大型インコ フード,小鳥用|中型インコ用,,,,75,true,3,
psq-goldfish-food,aquarium,goldfish,,fish_supplies,goldfish_food,金魚 フード,メダカ|海水魚,,,,100,true,5,
psq-medaka-food,aquarium,medaka,,fish_supplies,medaka_food,メダカ フード,金魚|海水魚,,,,100,true,5,
psq-betta-food,aquarium,betta,,betta_food,betta_food,ベタ フード,金魚|海水魚,,,,95,true,5,
psq-tropical-fish-food,aquarium,tropical_fish,,fish_supplies,tropical_fish_food,熱帯魚 フード,海水魚,,,,90,true,4,
psq-marine-fish-food,aquarium,marine_fish,,marine_food,marine_food,海水魚 フード,淡水用|金魚|メダカ,,,,100,true,5,
psq-aquatic-plant-fertilizer,aquarium,aquatic_plant,,plant_fertilizer,plant_fertilizer,水草 肥料,魚用フード|餌,,,,90,true,4,
psq-tortoise-food,reptile_amphibian,tortoise,,reptile_amphibian_supplies,reptile_food,リクガメ 草食 フード,水棲ガメ|肉食|雑食,,,,100,true,6,
psq-gecko-food,reptile_amphibian,gecko,,reptile_amphibian_supplies,reptile_food,ヤモリ 昆虫食 フード,リクガメ|草食|雑食,,,,95,true,5,
psq-lizard-food,reptile_amphibian,lizard,,reptile_amphibian_supplies,reptile_food,トカゲ 雑食 フード,リクガメ専用|肉食専用|昆虫食専用,,,,90,true,4,
psq-frog-food,reptile_amphibian,frog,,reptile_amphibian_supplies,reptile_food,カエル 肉食 フード,観賞魚|リクガメ|草食,,,,90,true,6,
psq-reptile-substrate,reptile_amphibian,,,reptile_amphibian_supplies,reptile_substrate_care,爬虫類 床材,小動物|昆虫マット,,,,50,false,1,
psq-rhinoceros-beetle-jelly,insect,rhinoceros_beetle,,insect_supplies,insect_jelly,カブトムシ 成虫用 昆虫ゼリー,幼虫用|クワガタ専用|活餌用,,,,100,true,5,
psq-stag-beetle-jelly,insect,stag_beetle,,insect_supplies,insect_jelly,クワガタ 成虫用 昆虫ゼリー,幼虫用|カブトムシ専用|活餌用,,,,100,true,5,
psq-rhinoceros-beetle-larva-mat,insect,rhinoceros_beetle,,insect_supplies,insect_bedding,カブトムシ 幼虫 マット,成虫用|クワガタ専用,,,,100,true,5,
psq-stag-beetle-kinshi,insect,stag_beetle,,kinshi_bottle,kinshi_bottle,クワガタ 幼虫 菌糸ビン,成虫用|カブトムシ用,,,,100,true,5,
psq-cricket-food,insect,cricket,,cricket_food,cricket_food,コオロギ フード,爬虫類用フード|活餌用,,,,90,true,4,
psq-bell-cricket-food,insect,bell_cricket,,bell_cricket_food,bell_cricket_food,スズムシ フード,コオロギ|活餌用,,,,90,true,4,
psq-dog-semi-moist-food,dog,dog,,semi_moist_food,semi_moist_food,犬 セミモイストフード,猫|キャット,,,,95,true,5,
psq-dog-therapeutic-food,dog,dog,,therapeutic_food,therapeutic_food,犬 療法食,猫用|キャット,,,,95,true,5,
psq-dog-puppy-food,dog,dog,,dog_food,dog_dry_food,犬 子犬用 フード,猫|成犬用|シニア用,,,,95,true,5,
psq-dog-adult-food,dog,dog,,dog_food,dog_dry_food,犬 成犬用 フード,猫|子犬用|シニア用,,,,95,true,5,
psq-dog-senior-food,dog,dog,,dog_food,dog_dry_food,犬 シニア用 フード,猫|子犬用|成犬用,,,,95,true,5,
psq-dog-breed-food,dog,dog,,dog_food,dog_dry_food,犬 犬種別 フード,猫|キャット,,,,85,true,4,
psq-dog-small-breed-food,dog,dog,,dog_food,dog_dry_food,犬 小型犬用 フード,猫|中型犬用|大型犬用,,,,95,true,5,
psq-dog-medium-breed-food,dog,dog,,dog_food,dog_dry_food,犬 中型犬用 フード,猫|小型犬用|大型犬用,,,,90,true,4,
psq-dog-large-breed-food,dog,dog,,dog_food,dog_dry_food,犬 大型犬用 フード,猫|小型犬用|中型犬用,,,,95,true,5,
psq-dog-dental-care,dog,dog,,dental_care,dental_care,犬 デンタルケア用品,猫用|人用,,,,90,true,4,
psq-dog-supplement,dog,dog,,supplement,supplement,犬 サプリメント,猫用|人用,,,,90,true,4,
psq-dog-milk,dog,dog,,milk,milk,犬用 ミルク,猫用|人用,,,,90,true,4,
psq-dog-pet-sheets,dog,dog,,pet_sheets,pet_sheets,犬 ペットシーツ,猫用|うさぎ用,,,,95,true,5,
psq-dog-manner-wear,dog,dog,,diapers,diapers,犬 マナーウェア,猫用|人用,,,,95,true,5,
psq-dog-diapers,dog,dog,,diapers,diapers,犬 おむつ,猫用|人用,,,,95,true,5,
psq-dog-deodorizer,dog,dog,,deodorizer,deodorizer,犬 消臭用品,猫用|小動物用,,,,85,true,4,
psq-dog-shampoo,dog,dog,,shampoo,shampoo,犬 シャンプー,猫用|人用,,,,90,true,4,
psq-dog-conditioner,dog,dog,,conditioner,conditioner,犬 トリートメント,猫用|人用,,,,85,true,4,
psq-dog-ear-care,dog,dog,,ear_care,ear_care,犬 耳ケア,猫用|人用,,,,85,true,4,
psq-dog-eye-care,dog,dog,,eye_care,eye_care,犬 目元ケア,猫用|人用,,,,85,true,4,
psq-dog-paw-care,dog,dog,,paw_care,paw_care,犬 肉球ケア,猫用|人用,,,,85,true,4,
psq-dog-toothpaste,dog,dog,,dental_care,dental_care,犬 歯磨き用品,猫用|人用,,,,90,true,4,
psq-dog-flea-tick-care,dog,dog,,flea_tick_care,flea_tick_care,犬 ノミ ダニ 対策用品,猫用|小動物用,,,,90,true,4,
psq-dog-wet-tissues,dog,dog,,wet_tissues,wet_tissues,犬 ウェットティッシュ,猫用|人用,,,,85,true,4,
psq-dog-waste-bags,dog,dog,,waste_bags,waste_bags,犬 うんち袋,猫用|人用,,,,85,true,4,
psq-dog-toilet,dog,dog,,toilet,toilet,犬 トイレ用品,猫用|うさぎ用,,,,85,true,4,
psq-rabbit-main-pellet,rabbit,rabbit,,main_pellet,main_pellet,うさぎ 主食用 ペレット,ハムスター|モルモット|フェレット,,,,100,true,5,
psq-rabbit-alfalfa,rabbit,rabbit,,alfalfa,alfalfa,うさぎ アルファルファ,猫|犬|ハムスター,,,,95,true,5,
psq-rabbit-supplementary-food,rabbit,rabbit,,supplementary_food,supplementary_food,うさぎ 補助食,猫|犬|ハムスター,,,,90,true,4,
psq-rabbit-chew-toy,rabbit,rabbit,,chew_toy,chew_toy,うさぎ かじり木,ハムスター用|鳥用,,,,90,true,4,
psq-rabbit-toilet-sheets,rabbit,rabbit,,toilet_sheets,toilet_sheets,うさぎ トイレシーツ,猫用|犬用|フェレット用,,,,90,true,4,
psq-rabbit-deodorizer,rabbit,rabbit,,deodorizer,deodorizer,うさぎ 消臭用品,猫用|犬用|フェレット用,,,,85,true,4,
psq-rabbit-grooming,rabbit,rabbit,,grooming,grooming,うさぎ グルーミング用品,猫用|犬用,,,,85,true,4,
psq-rabbit-shampoo-towel,rabbit,rabbit,,shampoo_towel,shampoo_towel,うさぎ シャンプータオル,猫用|犬用,,,,85,true,4,
psq-rabbit-water-replacement,rabbit,rabbit,,water_replacement,water_replacement,うさぎ 給水器 交換品,ハムスター用|犬用|猫用,,,,85,true,4,
psq-squirrel-food,small_animal,squirrel,,small_mammal_food,small_mammal_food,リス 主食 フード,鳥|犬|猫,,,,85,true,4,
psq-prairie-dog-food,small_animal,prairie_dog,,small_mammal_food,small_mammal_food,プレーリードッグ 主食 フード,犬|猫|うさぎ,,,,85,true,4,
psq-chinchilla-pellet,small_animal,chinchilla,,pellet,pellet,チンチラ ペレット,ハムスター|モルモット|デグー,,,,95,true,5,
psq-degu-pellet,small_animal,degu,,pellet,pellet,デグー ペレット,ハムスター|モルモット|チンチラ,,,,95,true,5,
psq-hamster-mixed-food,small_animal,hamster,,mixed_food,mixed_food,ハムスター ミックスフード,うさぎ|モルモット|フェレット,,,,95,true,5,
psq-gerbil-mixed-food,small_animal,gerbil,,mixed_food,mixed_food,スナネズミ ミックスフード,うさぎ|モルモット|フェレット,,,,90,true,4,
psq-chinchilla-hay,small_animal,chinchilla,,timothy,timothy,チンチラ 牧草,ハムスター|フェレット,,,,90,true,4,
psq-degu-hay,small_animal,degu,,timothy,timothy,デグー 牧草,ハムスター|フェレット,,,,90,true,4,
psq-guinea-pig-treat,small_animal,guinea_pig,,treat,treat,モルモット おやつ,ハムスター|フェレット,,,,90,true,4,
psq-chinchilla-treat,small_animal,chinchilla,,treat,treat,チンチラ おやつ,ハムスター|フェレット,,,,85,true,4,
psq-degu-treat,small_animal,degu,,treat,treat,デグー おやつ,ハムスター|フェレット,,,,85,true,4,
psq-hedgehog-treat,small_animal,hedgehog,,treat,treat,ハリネズミ おやつ,ハムスター|フェレット,,,,85,true,4,
psq-sugar-glider-treat,small_animal,sugar_glider,,treat,treat,フクロモモンガ おやつ,ハムスター|フェレット,,,,85,true,4,
psq-hamster-milk,small_animal,hamster,,milk,milk,ハムスター ミルク,うさぎ|犬|猫,,,,85,true,4,
psq-ferret-milk,small_animal,ferret,,milk,milk,フェレット ミルク,うさぎ|ハムスター|犬,,,,85,true,4,
psq-hamster-supplement,small_animal,hamster,,supplement,supplement,ハムスター サプリメント,うさぎ|モルモット|フェレット,,,,85,true,4,
psq-ferret-supplement,small_animal,ferret,,supplement,supplement,フェレット サプリメント,うさぎ|ハムスター|犬,,,,85,true,4,
psq-hamster-chew-toy,small_animal,hamster,,chew_toy,chew_toy,ハムスター かじり木,うさぎ用|鳥用,,,,90,true,4,
psq-guinea-pig-chew-toy,small_animal,guinea_pig,,chew_toy,chew_toy,モルモット かじり木,うさぎ用|ハムスター用,,,,85,true,4,
psq-chinchilla-chew-toy,small_animal,chinchilla,,chew_toy,chew_toy,チンチラ かじり木,うさぎ用|ハムスター用,,,,85,true,4,
psq-degu-chew-toy,small_animal,degu,,chew_toy,chew_toy,デグー かじり木,うさぎ用|ハムスター用,,,,85,true,4,
psq-chinchilla-bedding,small_animal,chinchilla,,bedding,bedding,チンチラ 床材,猫砂|爬虫類用,,,,85,true,4,
psq-degu-bedding,small_animal,degu,,bedding,bedding,デグー 床材,猫砂|爬虫類用,,,,85,true,4,
psq-ferret-bedding,small_animal,ferret,,bedding,bedding,フェレット 床材,猫砂|うさぎ用,,,,85,true,4,
psq-hedgehog-bedding,small_animal,hedgehog,,bedding,bedding,ハリネズミ 床材,猫砂|爬虫類用,,,,85,true,4,
psq-gerbil-nesting,small_animal,gerbil,,nesting_material,nesting_material,スナネズミ 巣材,鳥用|昆虫用,,,,85,true,4,
psq-guinea-pig-toilet-litter,small_animal,guinea_pig,,toilet_litter,toilet_litter,モルモット トイレ砂,猫砂|うさぎ用,,,,85,true,4,
psq-hedgehog-toilet-litter,small_animal,hedgehog,,toilet_litter,toilet_litter,ハリネズミ トイレ砂,猫砂|うさぎ用,,,,85,true,4,
psq-chinchilla-bathing-sand,small_animal,chinchilla,,bathing_sand,bathing_sand,チンチラ 浴び砂,ハムスター用|鳥用,,,,95,true,5,
psq-degu-bathing-sand,small_animal,degu,,bathing_sand,bathing_sand,デグー 浴び砂,ハムスター用|鳥用,,,,90,true,4,
psq-hamster-deodorizer,small_animal,hamster,,deodorizer,deodorizer,ハムスター 消臭用品,猫用|犬用|うさぎ用,,,,85,true,4,
psq-guinea-pig-deodorizer,small_animal,guinea_pig,,deodorizer,deodorizer,モルモット 消臭用品,猫用|犬用|うさぎ用,,,,80,true,3,
psq-ferret-dental-care,small_animal,ferret,,dental_care,dental_care,フェレット デンタルケア用品,猫用|犬用|ハムスター用,,,,85,true,4,
psq-guinea-pig-grooming,small_animal,guinea_pig,,grooming,grooming,モルモット グルーミング用品,猫用|犬用|うさぎ用,,,,80,true,3,
psq-ferret-grooming,small_animal,ferret,,grooming,grooming,フェレット グルーミング用品,猫用|犬用|うさぎ用,,,,80,true,3,
psq-budgerigar-seed,bird,budgerigar,,seed,seed,セキセイインコ シード,ハムスター|うさぎ|オカメインコ専用,,,,100,true,5,
psq-cockatiel-seed,bird,cockatiel,,seed,seed,オカメインコ シード,ハムスター|うさぎ|セキセイインコ専用,,,,95,true,5,
psq-java-sparrow-seed,bird,java_sparrow,,seed,seed,文鳥 シード,ハムスター|うさぎ|インコ専用,,,,95,true,5,
psq-small-bird-pellet,bird,,small_bird,bird_food,bird_pellet,小鳥用 ペレット,ハムスター|うさぎ|大型インコ用,,,,95,true,5,
psq-medium-parrot-pellet,bird,,medium_parrot,bird_food,bird_pellet,中型インコ用 ペレット,小鳥用|大型インコ用,,,,95,true,5,
psq-large-parrot-pellet,bird,,large_parrot,bird_food,bird_pellet,大型インコ用 ペレット,小鳥用|中型インコ用,,,,95,true,5,
psq-budgerigar-mixed-food,bird,budgerigar,,mixed_food,mixed_food,セキセイインコ 混合フード,ハムスター|うさぎ|オカメインコ専用,,,,90,true,4,
psq-cockatiel-mixed-food,bird,cockatiel,,mixed_food,mixed_food,オカメインコ 混合フード,ハムスター|うさぎ|セキセイインコ専用,,,,90,true,4,
psq-small-bird-formula,bird,,small_bird,formula,formula,小鳥用 フォーミュラ,ハムスター|うさぎ|大型インコ用,,,,90,true,4,
psq-budgerigar-chick-food,bird,budgerigar,,chick_food,chick_food,セキセイインコ 雛 手乗り フード,成鳥用|オカメインコ専用,,,,95,true,5,
psq-cockatiel-chick-food,bird,cockatiel,,chick_food,chick_food,オカメインコ 雛 手乗り フード,成鳥用|セキセイインコ専用,,,,90,true,4,
psq-budgerigar-treat,bird,budgerigar,,bird_food,bird_treat,セキセイインコ おやつ,ハムスター|うさぎ|大型インコ用,,,,90,true,4,
psq-cockatiel-treat,bird,cockatiel,,bird_food,bird_treat,オカメインコ おやつ,ハムスター|うさぎ|小鳥専用,,,,90,true,4,
psq-small-bird-supplement,bird,,small_bird,supplement,supplement,小鳥用 サプリメント,犬用|猫用|大型インコ用,,,,85,true,4,
psq-large-parrot-supplement,bird,,large_parrot,supplement,supplement,大型インコ用 サプリメント,犬用|猫用|小鳥用,,,,85,true,4,
psq-small-bird-calcium,bird,,small_bird,calcium,calcium,小鳥用 カルシウム,爬虫類用|大型インコ用,,,,90,true,4,
psq-large-parrot-calcium,bird,,large_parrot,calcium,calcium,大型インコ用 カルシウム,爬虫類用|小鳥用,,,,85,true,4,
psq-small-bird-grit,bird,,small_bird,grit,grit,小鳥用 グリット,爬虫類用|大型インコ用,,,,90,true,4,
psq-small-bird-boreiko,bird,,small_bird,grit,grit,小鳥用 ボレー粉,爬虫類用|大型インコ用,,,,90,true,4,
psq-small-bird-cuttlebone,bird,,small_bird,cuttlebone,cuttlebone,小鳥用 カトルボーン,爬虫類用|大型インコ用,,,,90,true,4,
psq-large-parrot-cuttlebone,bird,,large_parrot,cuttlebone,cuttlebone,大型インコ用 カトルボーン,爬虫類用|小鳥用,,,,85,true,4,
psq-small-bird-salt-earth,bird,,small_bird,mineral,mineral,小鳥用 塩土,爬虫類用|大型インコ用,,,,90,true,4,
psq-small-bird-mineral,bird,,small_bird,mineral,mineral,小鳥用 ミネラル用品,爬虫類用|大型インコ用,,,,85,true,4,
psq-small-bird-bedding,bird,,small_bird,bedding,bedding,小鳥用 床材,ハムスター用|爬虫類用,,,,85,true,4,
psq-small-bird-cage-liner,bird,,small_bird,bedding,bedding,小鳥用 敷紙,犬用|猫用|ハムスター用,,,,85,true,4,
psq-small-bird-sand,bird,,small_bird,sand,sand,小鳥用 砂,ハムスター用|爬虫類用,,,,80,true,3,
psq-small-bird-deodorizer,bird,,small_bird,deodorizer,deodorizer,小鳥用 消臭用品,犬用|猫用|小動物用,,,,80,true,3,
psq-small-bird-bath,bird,,small_bird,bath,bath,小鳥用 水浴び用品,ハムスター用|爬虫類用,,,,85,true,4,
psq-freshwater-flake-food,aquarium,freshwater_fish,,flake_food,flake_food,淡水魚用 フレークフード,海水用|海水魚|爬虫類用,,,,95,true,5,
psq-marine-flake-food,aquarium,marine_fish,,flake_food,flake_food,海水魚用 フレークフード,淡水用|金魚|メダカ,,,,95,true,5,
psq-freshwater-granule-food,aquarium,freshwater_fish,,granule_food,granule_food,淡水魚用 顆粒フード,海水用|海水魚|爬虫類用,,,,95,true,5,
psq-marine-granule-food,aquarium,marine_fish,,granule_food,granule_food,海水魚用 顆粒フード,淡水用|金魚|メダカ,,,,95,true,5,
psq-freshwater-tablet-food,aquarium,freshwater_fish,,tablet_food,tablet_food,淡水魚用 タブレットフード,海水用|海水魚|爬虫類用,,,,90,true,4,
psq-marine-tablet-food,aquarium,marine_fish,,tablet_food,tablet_food,海水魚用 タブレットフード,淡水用|金魚|メダカ,,,,90,true,4,
psq-freshwater-frozen-food,aquarium,freshwater_fish,,frozen_food,frozen_food,淡水魚用 冷凍餌,海水用|海水魚|爬虫類用,,,,90,true,4,
psq-marine-frozen-food,aquarium,marine_fish,,frozen_food,frozen_food,海水魚用 冷凍餌,淡水用|金魚|メダカ,,,,90,true,4,
psq-freshwater-dried-food,aquarium,freshwater_fish,,dried_food,dried_food,淡水魚用 乾燥餌,海水用|海水魚|爬虫類用,,,,90,true,4,
psq-marine-dried-food,aquarium,marine_fish,,dried_food,dried_food,海水魚用 乾燥餌,淡水用|金魚|メダカ,,,,90,true,4,
psq-freshwater-live-food,aquarium,freshwater_fish,,live_food,live_food,淡水魚用 生体餌,海水用|海水魚|爬虫類用|両生類用,,,,90,true,4,
psq-marine-live-food,aquarium,marine_fish,,live_food,live_food,海水魚用 生体餌,淡水用|金魚|メダカ|爬虫類用,,,,90,true,4,
psq-freshwater-fry-food,aquarium,freshwater_fish,,fry_food,fry_food,淡水魚 稚魚用 フード,海水用|成魚用|爬虫類用,,,,95,true,5,
psq-shrimp-food,aquarium,shrimp,,shrimp_food,shrimp_food,観賞エビ用 フード,ザリガニ用|海水魚用|爬虫類用,,,,95,true,5,
psq-freshwater-water-conditioner,aquarium,freshwater_fish,,water_conditioner,water_conditioner,淡水用 水質調整剤,海水用|爬虫類用,,,,95,true,5,
psq-marine-water-conditioner,aquarium,marine_fish,,water_conditioner,water_conditioner,海水用 水質調整剤,淡水用|金魚用|メダカ用,,,,95,true,5,
psq-freshwater-dechlorinator,aquarium,freshwater_fish,,dechlorinator,dechlorinator,淡水用 カルキ抜き,海水用|爬虫類用,,,,95,true,5,
psq-marine-dechlorinator,aquarium,marine_fish,,dechlorinator,dechlorinator,海水用 カルキ抜き,淡水用|金魚用|メダカ用,,,,85,true,4,
