id,alias_type,locale,alias,canonical_value,context_value,display_value,priority,enabled
alias-brand-royal-canin-short,brand,ja-JP,ロイカナ,brand-ロイヤルカナン-ジャポン,,ロイヤルカナン ジャポン,100,true
alias-brand-unicharm-ja,brand,ja-JP,ユニチャーム,brand-ユニ-チャーム,,ユニ・チャーム,120,true
alias-brand-unicharm-dot,brand,ja-JP,ユニ・チャーム,brand-ユニ-チャーム,,ユニ・チャーム,130,true
alias-brand-gex-en,brand,en,GEX,brand-gex,,GEX,130,true
alias-brand-gex-ja,brand,ja-JP,ジェックス,brand-gex,,GEX,120,true
alias-brand-exoterra-en,brand,en,EXO TERRA,brand-exo-terra,,Exo Terra,130,true
alias-brand-exoterra-ja,brand,ja-JP,エキゾテラ,brand-exo-terra,,Exo Terra,120,true
alias-brand-tetra-en,brand,en,TETRA,brand-テトラ,,テトラ,130,true
alias-brand-tetra-ja,brand,ja-JP,テトラ,brand-テトラ,,テトラ,120,true
alias-brand-marukan-en,brand,en,MARUKAN,brand-マルカン,,マルカン,120,true
alias-brand-marukan-ja,brand,ja-JP,マルカン,brand-マルカン,,マルカン,130,true
alias-brand-hipet-en,brand,en,HI-PET,brand-ハイペット,,ハイペット,120,true
alias-brand-hipet-ja,brand,ja-JP,ハイペット,brand-ハイペット,,ハイペット,130,true
alias-brand-kyorin-en,brand,en,HIKARI,brand-キョーリン,,キョーリン,110,true
alias-brand-kyorin-ja,brand,ja-JP,キョーリン,brand-キョーリン,,キョーリン,130,true
alias-brand-inaba-en,brand,en,INABA,brand-いなば,,いなば,120,true
alias-brand-inaba-ja,brand,ja-JP,いなば,brand-いなば,,いなば,130,true
alias-brand-petio-en,brand,en,Petio,brand-ペティオ,,ペティオ,120,true
alias-brand-petio-ja,brand,ja-JP,ペティオ,brand-ペティオ,,ペティオ,130,true
alias-series-manner-wear-ja,series,ja-JP,マナーウェア,manner_wear,brand-ユニ-チャーム,マナーウェア,130,true
alias-series-manner-wear-en,series,en,Manner Wear,manner_wear,brand-ユニ-チャーム,マナーウェア,110,true
alias-series-deotoilet-ja,series,ja-JP,デオトイレ,deo_toilet,brand-ユニ-チャーム,デオトイレ,130,true
alias-series-bunny-selection-ja,series,ja-JP,バニーセレクション,bunny_selection,brand-バニーセレクション,バニーセレクション,130,true
alias-series-tetramin-ja,series,ja-JP,テトラミン,tetramin,brand-テトラ,テトラミン,130,true
alias-series-tetramin-en,series,en,TetraMin,tetramin,brand-テトラ,テトラミン,120,true
alias-series-reptomin-ja,series,ja-JP,レプトミン,reptomin,brand-テトラ,レプトミン,130,true
alias-series-reptomin-en,series,en,ReptoMin,reptomin,brand-テトラ,レプトミン,120,true
alias-series-kirapipi-ja,series,ja-JP,キラピピ,kirapipi,brand-キラピピ,キラピピ,130,true
alias-series-excel-ja,series,ja-JP,エクセル,excel,brand-エクセル,エクセル,120,true
